Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
4CD,0200,4CD,0000,000,0000,000,0000,0000,004,0100,,
4CD,0200,4CE,0200,4CD,0200,000,04CD,0000,004,0100,,
4CE,EE19,4CF,EE19,4E8,0000,000,0019,0000,004,0100,4E8,0000
4CF,AE17,4D0,AE17,4E7,0FA6,000,0017,0FA6,000,0000,,
4D0,0740,4D1,0740,4D0,0740,000,04D0,0FA5,001,0001,,
4D1,0C00,4D2,0C00,7FF,0FA5,7FF,04D1,0FA5,001,0001,7FF,0FA5
4D2,D654,654,D654,7FE,04D3,7FE,D654,0FA5,001,0001,7FE,04D3
654,AC01,655,AC01,7FF,0FA5,7FE,0001,0FA5,001,0001,,
655,F204,656,F204,655,F204,7FE,0655,0FA5,001,0001,,
656,F003,657,F003,656,F003,7FE,0656,0FA5,001,0001,,
657,7E0A,658,7E0A,662,0EE0,7FE,000A,0FA5,001,0001,,
658,F006,659,F006,658,F006,7FE,0658,0FA5,001,0001,,
659,F805,65A,F805,659,F805,7FE,0659,0FA5,001,0001,,
65A,4C01,65B,4C01,7FF,0FA5,7FE,0001,1F4A,000,0000,,
65B,4C01,65C,4C01,7FF,0FA5,7FE,0001,2EEF,000,0000,,
65C,4C01,65D,4C01,7FF,0FA5,7FE,0001,3E94,000,0000,,
65D,6E05,65E,6E05,663,00BD,7FE,0005,3DD7,001,0001,,
65E,CE01,660,CE01,65E,0660,7FE,0001,3DD7,001,0001,,
660,EC01,661,EC01,7FF,3DD7,7FE,0001,3DD7,001,0001,7FF,3DD7
661,0A00,4D3,0A00,7FE,04D3,7FF,0661,3DD7,001,0001,,
4D3,0800,4D4,0800,7FF,3DD7,000,04D3,3DD7,001,0001,,
4D4,0740,4D5,0740,4D4,0740,000,04D4,3DD6,001,0001,,
4D5,6E12,4D6,6E12,4E8,0000,000,0012,3DD6,001,0001,,
4D6,EE11,4D7,EE11,4E8,3DD6,000,0011,3DD6,001,0001,4E8,3DD6
4D7,AE0D,4D8,AE0D,4E5,0023,000,000D,0023,001,0001,,
4D8,0C00,4D9,0C00,7FF,0023,7FF,04D8,0023,001,0001,7FF,0023
4D9,D654,654,D654,7FE,04DA,7FE,D654,0023,001,0001,7FE,04DA
654,AC01,655,AC01,7FF,0023,7FE,0001,0023,001,0001,,
655,F204,656,F204,655,F204,7FE,0655,0023,001,0001,,
656,F003,657,F003,656,F003,7FE,0656,0023,001,0001,,
657,7E0A,658,7E0A,662,0EE0,7FE,000A,0023,008,1000,,
658,F006,659,F006,658,F006,7FE,0658,0023,008,1000,,
659,F805,65F,F805,659,F805,7FE,0005,0023,008,1000,,
65F,AE02,660,AE02,662,0EE0,7FE,0002,0EE0,000,0000,,
660,EC01,661,EC01,7FF,0EE0,7FE,0001,0EE0,000,0000,7FF,0EE0
661,0A00,4DA,0A00,7FE,04DA,7FF,0661,0EE0,000,0000,,
4DA,0800,4DB,0800,7FF,0EE0,000,04DA,0EE0,000,0000,,
4DB,6E0C,4DC,6E0C,4E8,3DD6,000,000C,D10A,008,1000,,
4DC,EE0B,4DD,EE0B,4E8,D10A,000,000B,D10A,008,1000,4E8,D10A
4DD,AE08,4DE,AE08,4E6,FFF4,000,0008,FFF4,008,1000,,
4DE,0C00,4DF,0C00,7FF,FFF4,7FF,04DE,FFF4,008,1000,7FF,FFF4
4DF,D654,654,D654,7FE,04E0,7FE,D654,FFF4,008,1000,7FE,04E0
654,AC01,655,AC01,7FF,FFF4,7FE,0001,FFF4,008,1000,,
655,F204,65A,F204,655,F204,7FE,0004,FFF4,008,1000,,
65A,4C01,65B,4C01,7FF,FFF4,7FE,0001,FFE8,009,1001,,
65B,4C01,65C,4C01,7FF,FFF4,7FE,0001,FFDC,009,1001,,
65C,4C01,65D,4C01,7FF,FFF4,7FE,0001,FFD0,009,1001,,
65D,6E05,65E,6E05,663,00BD,7FE,0005,FF13,009,1001,,
65E,CE01,660,CE01,65E,0660,7FE,0001,FF13,009,1001,,
660,EC01,661,EC01,7FF,FF13,7FE,0001,FF13,009,1001,7FF,FF13
661,0A00,4E0,0A00,7FE,04E0,7FF,0661,FF13,009,1001,,
4E0,0800,4E1,0800,7FF,FF13,000,04E0,FF13,009,1001,,
4E1,0740,4E2,0740,4E1,0740,000,04E1,FF12,009,1001,,
4E2,4E05,4E3,4E05,4E8,D10A,000,0005,D01C,009,1001,,
4E3,EE04,4E4,EE04,4E8,D01C,000,0004,D01C,009,1001,4E8,D01C
4E4,0100,4E5,0100,4E4,0100,000,04E4,D01C,009,1001,,
